ncs_id,ncs_code,ncs_label,is_active
NCS_1010_Y40R,1010-Y40R,NCS 1010-Y40R,1
NCS_1010_Y50R,1010-Y50R,NCS 1010-Y50R,1
NCS_1010_Y60R,1010-Y60R,NCS 1010-Y60R,1
NCS_1010_Y70R,1010-Y70R,NCS 1010-Y70R,1
NCS_1010_Y80R,1010-Y80R,NCS 1010-Y80R,1
NCS_1010_Y90R,1010-Y90R,NCS 1010-Y90R,1
NCS_1015_B,1015-B,NCS 1015-B,1
NCS_1015_B20G,1015-B20G,NCS 1015-B20G,1
NCS_1015_B50G,1015-B50G,NCS 1015-B50G,1
NCS_1015_B80G,1015-B80G,NCS 1015-B80G,1
NCS_1015_G,1015-G,NCS 1015-G,1
